municipio,mesoregiao
São Cristóvão do Sul,Serrana
São Joaquim,Serrana
São José do Cerrito,Serrana
Urubici,Serrana
Urupema,Serrana
Vargem,Serrana
Zortéa,Serrana
Araranguá,Sul Catarinense
Armazém,Sul Catarinense
Balneário Arroio do Silva,Sul Catarinense
Balneário Gaivota,Sul Catarinense
Balneário Rincão,Sul Catarinense
Braço do Norte,Sul Catarinense
Capivari de Baixo,Sul Catarinense
Cocal do Sul,Sul Catarinense
Criciúma,Sul Catarinense
Ermo,Sul Catarinense
Forquilhinha,Sul Catarinense
Garopaba,Sul Catarinense
Grão Pará,Sul Catarinense
Gravatal,Sul Catarinense
Içara,Sul Catarinense
Imaruí,Sul Catarinense
Imbituba,Sul Catarinense
Jacinto Machado,Sul Catarinense
Jaguaruna,Sul Catarinense
Laguna,Sul Catarinense
Lauro Muller,Sul Catarinense
Maracajá,Sul Catarinense
Meleiro,Sul Catarinense
Morro da Fumaça,Sul Catarinense
Morro Grande,Sul Catarinense
Nova Veneza,Sul Catarinense
Orleans,Sul Catarinense
Passo de Torres,Sul Catarinense
Pedras Grandes,Sul Catarinense
Pescaria Brava,Sul Catarinense
Praia Grande,Sul Catarinense
Rio Fortuna,Sul Catarinense
Sangão,Sul Catarinense
Santa Rosa de Lima,Sul Catarinense
Santa Rosa do Sul,Sul Catarinense
São João do Sul,Sul Catarinense
São Ludgero,Sul Catarinense
São Martinho,Sul Catarinense
Siderópolis,Sul Catarinense
Sombrio,Sul Catarinense
Timbé do Sul,Sul Catarinense
Treviso,Sul Catarinense
Treze de Maio,Sul Catarinense
Tubarão,Sul Catarinense
Turvo,Sul Catarinense
Urussanga,Sul Catarinense
Agrolândia,Vale do Itajai
Agronômica,Vale do Itajai
Apiúna,Vale do Itajai
Ascurra,Vale do Itajai
Atalanta,Vale do Itajai
Aurora,Vale do Itajai
Balneário Camboriú,Vale do Itajai
Balneário Piçarras,Vale do Itajai
Barra Velha,Vale do Itajai
Benedito Novo,Vale do Itajai
Blumenau,Vale do Itajai
Bombinhas,Vale do Itajai
Botuverá,Vale do Itajai
Braço do Trombudo,Vale do Itajai
Brusque,Vale do Itajai
Camboriú,Vale do Itajai
Chapadão do Lageado,Vale do Itajai
Dona Emma,Vale do Itajai
Doutor Pedrinho,Vale do Itajai
Gaspar,Vale do Itajai
Guabiruba,Vale do Itajai
Ibirama,Vale do Itajai
Ilhota,Vale do Itajai
Imbuia,Vale do Itajai
Indaial,Vale do Itajai
Itajaí,Vale do Itajai
Itapema,Vale do Itajai
Ituporanga,Vale do Itajai
José Boiteux,Vale do Itajai
Laurentino,Vale do Itajai
Lontras,Vale do Itajai
Luiz Alves,Vale do Itajai
Mirim Doce,Vale do Itajai
Navegantes,Vale do Itajai
Penha,Vale do Itajai
Petrolândia,Vale do Itajai
Pomerode,Vale do Itajai
Porto Belo,Vale do Itajai
Pouso Redondo,Vale do Itajai
Presidente Getúlio,Vale do Itajai
Presidente Nereu,Vale do Itajai
Rio do Campo,Vale do Itajai
Rio do Oeste,Vale do Itajai
Rio do Sul,Vale do Itajai
Rio dos Cedros,Vale do Itajai
Rodeio,Vale do Itajai
Salete,Vale do Itajai
São João do Itaperiú,Vale do Itajai
Taió,Vale do Itajai
Timbó,Vale do Itajai
Trombudo Central,Vale do Itajai
Vidal Ramos,Vale do Itajai
Vítor Meireles,Vale do Itajai
Witmarsum,Vale do Itajai
